10	10	100	0	751,827	95,01	12,64	8,309
10	20	200	40	702,777	40,26	5,73	3,950
10	40	400	0	751,827	95,01	12,64	3,654
10	50	500	40	697,794	42,51	6,09	2,931
10	70	700	0	751,827	95,01	12,64	5,538
10	80	800	40	699,677	41,96	6,00	4,130
10	100	1000	0	751,827	95,01	12,64	6,966
10	110	1100	40	709,291	42,61	6,01	4,503
10	130	1300	0	751,827	95,01	12,64	8,910
10	140	1400	40	696,738	29,58	4,25	5,339
10	160	1600	0	751,827	95,01	12,64	11,067
10	170	1700	40	688,290	19,71	2,86	6,408
10	190	1900	0	751,827	95,01	12,64	12,186
10	200	2000	40	695,189	40,14	5,77	7,479
10	20	400	0	710,495	43,60	6,14	2,525
10	30	600	40	688,290	19,71	2,86	2,610
10	50	1000	0	704,643	51,20	7,27	5,890
10	60	1200	40	695,385	35,11	5,05	5,107
10	80	1600	0	743,413	61,40	8,26	9,748
10	90	1800	40	689,050	21,35	3,10	7,299
10	110	2200	0	725,908	44,61	6,15	12,614
10	120	2400	40	689,050	21,35	3,10	8,486
10	140	2800	0	751,827	95,01	12,64	18,380
10	150	3000	40	694,339	18,21	2,62	11,329
10	170	3400	0	743,639	49,00	6,59	20,176
10	180	3600	40	690,478	21,13	3,06	13,432
10	200	4000	0	751,827	95,01	12,64	24,800
10	10	300	40	714,420	38,40	5,38	1,339
10	30	900	0	723,394	51,22	7,08	5,028
10	40	1200	40	691,669	22,59	3,27	5,608
10	60	1800	0	708,946	36,63	5,17	9,806
10	70	2100	40	689,927	17,70	2,57	7,777
10	90	2700	0	706,461	48,94	6,93	15,804
10	100	3000	40	691,669	22,59	3,27	10,578
10	120	3600	0	710,036	33,94	4,78	20,741
10	130	3900	40	685,881	13,64	1,99	15,957
10	150	4500	0	719,669	53,85	7,48	27,385
10	160	4800	40	688,290	19,71	2,86	18,401
10	180	5400	0	746,196	66,08	8,86	32,944
10	190	5700	40	691,669	22,59	3,27	21,455
10	10	400	0	712,250	29,48	4,14	2,197
10	20	800	40	700,542	34,32	4,90	3,244
10	40	1600	0	697,981	24,93	3,57	7,809
10	50	2000	40	696,081	22,61	3,25	6,949
10	70	2800	0	685,881	13,64	1,99	12,823
10	80	3200	40	691,642	22,51	3,25	12,089
10	100	4000	0	692,701	20,56	2,97	20,910
10	110	4400	40	689,927	17,70	2,57	16,597
10	130	5200	0	707,256	22,44	3,17	27,960
10	140	5600	40	685,881	13,64	1,99	20,631
10	160	6400	0	699,101	34,44	4,93	35,813
10	170	6800	40	691,669	22,59	3,27	26,936
10	190	7600	0	720,705	46,67	6,48	44,343
10	200	8000	40	689,927	17,70	2,57	29,413
10	20	1000	0	702,178	41,73	5,94	5,050
10	30	1500	40	685,881	13,64	1,99	5,697
10	50	2500	0	696,638	40,65	5,83	10,992
10	60	3000	40	689,927	17,70	2,57	10,788
10	80	4000	0	706,925	43,54	6,16	20,494
10	90	4500	40	689,050	21,35	3,10	15,581
10	110	5500	0	693,618	21,61	3,11	25,530
10	120	6000	40	685,881	13,64	1,99	21,746
10	140	7000	0	708,243	28,00	3,95	39,419
10	150	7500	40	689,927	17,70	2,57	29,910
10	170	8500	0	695,362	24,87	3,58	43,577
10	180	9000	40	685,881	13,64	1,99	33,055
10	200	10000	0	691,669	22,59	3,27	53,849
10	10	600	40	702,568	29,57	4,21	2,216
10	30	1800	0	701,759	30,15	4,30	8,701
10	40	2400	40	691,669	22,59	3,27	8,864
10	60	3600	0	685,881	13,64	1,99	17,218
10	70	4200	40	689,927	17,70	2,57	15,910
10	90	5400	0	688,290	19,71	2,86	26,934
10	100	6000	40	691,669	22,59	3,27	21,082
10	120	7200	0	697,555	25,92	3,72	33,679
10	130	7800	40	685,881	13,64	1,99	28,586
10	150	9000	0	696,738	29,58	4,25	46,113
10	160	9600	40	685,881	13,64	1,99	35,715
10	180	10800	0	691,669	22,59	3,27	56,945
10	190	11400	40	691,669	22,59	3,27	41,892
10	10	700	0	707,516	26,80	3,79	3,169
10	20	1400	40	697,981	24,86	3,56	5,552
10	40	2800	0	697,981	24,93	3,57	12,403
10	50	3500	40	689,927	17,70	2,57	12,454
10	70	4900	0	685,881	13,64	1,99	21,092
10	80	5600	40	691,642	22,51	3,25	19,439
10	100	7000	0	685,881	13,64	1,99	31,086
10	110	7700	40	689,927	17,70	2,57	28,643
10	130	9100	0	685,881	13,64	1,99	42,856
10	140	9800	40	685,881	13,64	1,99	35,086
10	160	11200	0	689,927	17,70	2,57	51,862
10	170	11900	40	691,669	22,59	3,27	41,701
10	190	13300	0	688,290	19,71	2,86	68,030
10	200	14000	40	689,927	17,70	2,57	51,261
10	20	1600	0	702,178	41,73	5,94	6,965
10	30	2400	40	685,881	13,64	1,99	8,093
10	50	4000	0	696,638	40,65	5,83	16,806
10	60	4800	40	689,927	17,70	2,57	17,205
10	80	6400	0	695,414	25,64	3,69	29,433
10	90	7200	40	689,050	21,35	3,10	25,836
10	110	8800	0	689,927	17,70	2,57	38,345
10	120	9600	40	685,881	13,64	1,99	33,457
10	140	11200	0	694,735	25,68	3,70	52,902
10	150	12000	40	689,927	17,70	2,57	45,095
