10	4	250	100	703,665	43,38	6,17	12,281
10	14	500	100	707,253	48,65	6,88	7,090
10	6	1000	100	691,669	22,59	3,27	6,090
10	16	1500	100	691,669	22,59	3,27	6,596
10	8	2500	100	702,284	36,57	5,21	11,666
10	18	3000	100	696,638	40,65	5,83	12,259
10	10	4000	100	696,938	35,57	5,10	18,956
10	20	4500	100	693,605	20,75	2,99	18,963
15	12	562	100	765,370	39,77	5,20	6,665
15	4	1688	100	715,424	36,84	5,15	13,910
15	14	2250	100	707,442	35,00	4,95	18,364
15	6	4500	100	743,167	38,01	5,11	48,015
15	16	5625	100	706,090	35,17	4,98	42,181
15	8	7875	100	741,072	30,26	4,08	80,789
15	18	9000	100	717,797	34,38	4,79	74,734
15	10	11250	100	731,590	29,75	4,07	133,917
20	20	1000	100	721,729	41,12	5,70	14,981
20	12	3000	100	711,214	36,47	5,13	40,230
20	4	6000	100	709,475	28,27	3,98	76,350
20	14	8000	100	703,585	26,19	3,72	93,090
20	6	12000	100	712,201	33,04	4,64	149,955
20	16	14000	100	697,399	20,71	2,97	156,436
20	8	18000	100	707,476	28,50	4,03	209,323
20	18	20000	100	701,023	24,21	3,45	235,170
25	10	3125	100	724,575	49,11	6,78	58,970
25	20	4688	100	719,876	43,03	5,98	85,281
25	12	9375	100	714,523	37,77	5,29	166,288
25	4	15625	100	725,526	28,31	3,90	301,466
25	14	18750	100	711,956	31,21	4,38	337,122
25	6	25000	100	720,300	37,23	5,17	442,860
25	16	28125	100	715,874	37,30	5,21	448,097
