10	2	5	0	712,458	48,12	6,75	8,080
38	2	5	0	834,877	77,34	9,26	15,019
34	3	5	0	874,121	131,50	15,04	7,135
30	4	5	0	853,903	137,32	16,08	3,998
26	5	5	0	826,203	20,55	2,49	3,147
22	6	5	0	863,712	234,52	27,15	1,768
18	7	5	0	815,586	21,58	2,65	1,756
14	8	5	0	809,529	25,53	3,15	1,478
10	9	5	0	712,458	48,12	6,75	1,304
38	9	5	0	839,523	29,80	3,55	5,667
34	10	5	0	854,155	91,32	10,69	5,333
30	12	5	0	823,433	23,07	2,80	4,418
26	14	5	0	821,536	12,96	1,58	3,488
22	16	5	0	810,785	28,04	3,46	2,706
18	18	5	0	783,992	38,42	4,90	2,653
14	20	5	0	782,837	42,07	5,37	2,198
10	24	5	0	751,827	95,01	12,64	1,181
38	24	5	0	846,981	68,88	8,13	9,163
34	28	5	0	832,189	37,14	4,46	7,965
30	32	5	0	822,729	26,49	3,22	7,685
26	36	5	0	813,975	25,73	3,16	7,190
22	42	5	0	790,043	38,00	4,81	5,664
18	48	5	0	800,817	27,56	3,44	4,434
14	54	5	0	797,468	32,34	4,06	3,924
10	60	5	0	743,129	54,07	7,28	2,886
38	60	5	0	855,327	66,68	7,80	17,602
34	66	5	0	832,618	26,87	3,23	15,847
30	72	5	0	822,628	26,35	3,20	14,456
26	76	5	0	821,840	16,62	2,02	12,106
22	82	5	0	810,577	39,10	4,82	9,644
18	90	5	0	806,097	26,25	3,26	8,986
14	96	5	0	794,668	38,92	4,90	6,681
10	102	5	0	751,827	95,01	12,64	4,526
38	102	5	0	842,765	83,99	9,97	29,088
34	2	10	0	839,264	25,24	3,01	3,027
30	3	10	0	831,527	81,30	9,78	2,691
26	4	10	0	828,299	23,47	2,83	2,725
22	5	10	0	754,829	86,09	11,41	2,229
18	6	10	0	747,770	48,71	6,51	1,277
14	7	10	0	806,313	26,52	3,29	1,905
10	8	10	0	698,765	30,43	4,35	0,750
38	8	10	0	853,750	121,22	14,20	6,802
34	9	10	0	827,955	23,43	2,83	6,866
30	10	10	0	826,433	25,43	3,08	5,221
26	12	10	0	821,228	20,81	2,53	4,575
22	14	10	0	743,731	58,17	7,82	3,320
18	16	10	0	806,926	25,71	3,19	4,190
14	18	10	0	802,729	27,28	3,40	3,164
10	20	10	0	691,953	23,52	3,40	1,458
38	20	10	0	840,181	61,42	7,31	12,890
34	24	10	0	837,876	44,59	5,32	11,512
30	28	10	0	818,519	23,22	2,84	11,080
26	32	10	0	793,545	46,30	5,83	9,914
22	36	10	0	809,686	26,52	3,28	8,621
18	42	10	0	784,045	60,22	7,68	7,914
14	48	10	0	789,698	32,34	4,09	6,499
10	54	10	0	716,046	49,13	6,86	3,788
38	54	10	0	847,062	81,50	9,62	28,434
34	60	10	0	818,783	23,27	2,84	26,585
30	66	10	0	815,962	28,55	3,50	24,153
26	72	10	0	813,179	26,94	3,31	21,106
22	76	10	0	799,551	25,12	3,14	18,598
18	82	10	0	802,704	32,28	4,02	14,916
14	90	10	0	786,090	36,45	4,64	12,185
10	96	10	0	718,040	43,19	6,02	7,178
38	96	10	0	851,273	78,91	9,27	48,933
34	102	10	0	826,250	20,18	2,44	40,544
30	2	15	0	849,771	137,13	16,14	2,374
26	3	15	0	825,885	21,00	2,54	2,571
22	4	15	0	785,285	38,12	4,85	1,878
18	5	15	0	735,884	70,28	9,55	1,367
14	6	15	0	811,903	35,96	4,43	1,421
10	7	15	0	706,736	45,00	6,37	0,742
38	7	15	0	857,059	122,01	14,24	7,217
34	8	15	0	813,884	33,80	4,15	5,785
30	9	15	0	822,254	25,53	3,10	4,990
26	10	15	0	808,831	27,58	3,41	4,972
22	12	15	0	793,898	41,04	5,17	3,874
18	14	15	0	793,038	32,64	4,12	4,324
14	16	15	0	787,271	38,58	4,90	2,742
10	18	15	0	706,306	40,60	5,75	1,742
38	18	15	0	831,995	59,41	7,14	13,971
34	20	15	0	817,985	31,40	3,84	12,192
30	24	15	0	820,874	25,63	3,12	12,128
26	28	15	0	805,990	25,10	3,11	11,114
22	32	15	0	791,183	36,88	4,66	10,173
18	36	15	0	795,849	33,61	4,22	9,059
14	42	15	0	780,241	40,25	5,16	6,733
10	48	15	0	707,626	50,74	7,17	4,236
38	48	15	0	826,344	87,08	10,54	32,332
34	54	15	0	822,788	29,10	3,54	33,094
30	60	15	0	834,071	51,79	6,21	32,600
26	66	15	0	797,532	36,60	4,59	28,491
22	72	15	0	763,650	51,46	6,74	22,679
18	76	15	0	789,748	37,58	4,76	19,251
14	82	15	0	786,153	43,36	5,52	15,272
10	90	15	0	708,439	43,21	6,10	9,169
38	90	15	0	822,155	25,35	3,08	67,432
34	96	15	0	817,230	41,02	5,02	63,100
30	102	15	0	819,654	28,17	3,44	54,929
26	2	20	0	856,483	214,21	25,01	1,735
22	3	20	0	756,955	78,93	10,43	1,916
18	4	20	0	770,048	51,86	6,73	1,664
14	5	20	0	801,696	31,57	3,94	1,497
