15	4	18	0	808,087	21,83	2,70	7,207
15	9	40	30	807,984	23,47	2,91	4,768
15	14	63	60	811,470	18,74	2,31	3,768
15	18	81	90	780,533	46,92	6,01	2,818
15	27	122	10	803,797	32,24	4,01	2,468
15	32	144	40	804,395	30,25	3,76	2,714
15	36	162	70	802,451	26,19	3,26	2,758
15	40	180	100	762,597	81,65	10,71	1,792
15	54	243	20	801,528	30,12	3,76	3,686
15	63	284	50	798,471	27,15	3,40	3,564
15	72	324	80	797,777	36,27	4,55	3,914
15	90	405	0	801,548	28,88	3,60	5,743
15	99	446	30	795,310	29,76	3,74	5,728
15	108	486	60	784,360	35,59	4,54	5,986
15	117	527	90	752,182	47,98	6,38	5,229
15	135	608	10	808,587	31,51	3,90	7,988
15	144	648	40	804,800	22,65	2,81	7,851
15	153	688	70	791,772	39,85	5,03	7,763
15	162	729	100	730,584	46,18	6,32	4,872
15	180	810	20	786,284	37,41	4,76	9,802
15	189	851	50	787,406	44,84	5,69	9,595
15	198	891	80	769,466	50,50	6,56	9,192
15	216	972	0	797,243	32,14	4,03	12,848
15	225	1012	30	792,331	31,35	3,96	11,886
15	4	36	60	801,928	27,93	3,48	0,821
15	9	81	90	776,658	44,18	5,69	1,358
15	18	162	10	802,075	26,97	3,36	2,345
15	22	198	40	807,134	34,31	4,25	2,891
15	27	243	70	798,799	37,26	4,66	3,222
15	32	288	100	732,951	52,22	7,12	2,321
15	40	360	20	796,079	33,05	4,15	4,750
15	45	405	50	790,919	43,51	5,50	4,989
15	54	486	80	782,424	30,27	3,87	5,500
15	72	648	0	810,295	37,49	4,63	8,066
15	81	729	30	808,849	37,29	4,61	8,536
15	90	810	60	780,768	38,21	4,89	8,729
15	99	891	90	777,800	33,18	4,27	7,874
15	117	1053	10	804,341	30,28	3,76	11,243
15	126	1134	40	800,421	27,46	3,43	12,961
15	135	1215	70	787,336	35,83	4,55	12,034
15	144	1296	100	732,616	57,38	7,83	8,651
15	162	1458	20	797,160	28,80	3,61	16,030
15	171	1539	50	790,143	30,44	3,85	16,911
15	180	1620	80	785,064	49,22	6,27	15,806
15	198	1782	0	794,172	33,77	4,25	20,487
15	207	1863	30	772,060	47,58	6,16	19,446
15	216	1944	60	779,188	51,97	6,67	20,984
15	225	2025	90	772,789	58,24	7,54	18,208
15	9	121	10	803,563	38,93	4,84	1,795
15	14	189	40	804,389	21,01	2,61	2,612
15	18	243	70	795,260	40,31	5,07	3,167
15	22	297	100	735,199	59,16	8,05	2,321
15	32	432	20	805,521	41,08	5,10	5,719
15	36	486	50	794,912	31,37	3,95	5,940
15	40	540	80	777,311	52,00	6,69	6,471
15	54	729	0	793,721	29,89	3,77	8,208
15	63	850	30	796,307	43,98	5,52	9,992
15	72	972	60	798,453	25,47	3,19	11,679
15	81	1094	90	764,049	47,73	6,25	12,012
15	99	1336	10	790,700	25,70	3,25	16,015
15	108	1458	40	793,531	31,13	3,92	16,911
15	117	1580	70	794,242	34,48	4,34	18,601
15	126	1701	100	724,054	50,46	6,97	12,570
15	144	1944	20	796,627	31,80	3,99	21,955
15	153	2066	50	785,584	47,89	6,10	23,300
15	162	2187	80	782,980	52,10	6,65	24,348
15	180	2430	0	802,410	36,45	4,54	27,944
15	189	2551	30	797,663	33,22	4,16	28,741
15	198	2673	60	784,972	48,75	6,21	29,165
15	207	2794	90	783,793	53,15	6,78	29,478
15	225	3038	10	797,736	35,17	4,41	34,642
15	4	72	40	799,519	29,86	3,73	1,354
15	9	162	70	803,621	35,10	4,37	2,528
15	14	252	100	725,012	46,16	6,37	2,297
15	22	396	20	797,887	34,98	4,38	4,684
15	27	486	50	785,427	33,29	4,24	5,799
15	32	576	80	747,605	54,98	7,35	6,337
15	40	720	0	799,983	35,14	4,39	8,111
15	45	810	30	796,945	32,06	4,02	8,604
15	54	972	60	780,755	51,44	6,59	10,359
15	63	1134	90	758,462	53,27	7,02	11,432
15	81	1458	10	793,182	50,54	6,37	17,687
15	90	1620	40	786,928	32,21	4,09	16,997
15	99	1782	70	778,440	56,08	7,20	18,246
15	108	1944	100	742,120	53,93	7,27	15,976
15	126	2268	20	782,699	32,27	4,12	24,718
15	135	2430	50	778,255	50,01	6,43	26,137
15	144	2592	80	784,450	41,10	5,24	27,571
15	162	2916	0	798,519	27,04	3,39	32,206
15	171	3078	30	781,534	46,06	5,89	32,579
15	180	3240	60	781,423	36,02	4,61	33,041
15	189	3402	90	760,157	50,34	6,62	32,637
15	207	3726	10	785,189	30,14	3,84	40,431
15	216	3888	40	799,173	38,61	4,83	41,620
15	225	4050	70	781,860	39,13	5,01	42,299
15	4	90	100	744,043	48,14	6,47	1,093
15	14	315	20	799,311	33,56	4,20	4,104
15	18	405	50	761,552	38,25	5,02	4,766
15	22	495	80	766,225	48,67	6,35	5,697
15	32	720	0	801,554	42,71	5,33	9,091
15	36	810	30	787,055	30,31	3,85	9,624
15	40	900	60	768,276	50,80	6,61	9,996
15	45	1012	90	766,903	40,44	5,27	11,409
15	63	1418	10	787,929	43,41	5,51	16,811
15	72	1620	40	791,683	34,76	4,39	18,346
15	81	1822	70	792,570	46,45	5,86	20,499
15	90	2025	100	725,174	51,04	7,04	14,609
15	108	2430	20	791,964	25,15	3,18	27,797
15	117	2632	50	798,854	34,42	4,31	29,591
15	126	2835	80	787,963	32,22	4,09	31,498
15	144	3240	0	799,648	37,55	4,70	36,168
15	153	3442	30	796,422	31,21	3,92	38,527
15	162	3645	60	779,274	35,92	4,61	40,638
15	171	3848	90	766,888	50,16	6,54	41,601
15	189	4252	10	797,304	51,42	6,45	48,247
15	198	4455	40	790,746	30,67	3,88	50,990
15	207	4658	70	783,426	44,58	5,69	49,857
15	216	4860	100	729,695	47,60	6,52	39,263
15	4	108	20	795,583	36,00	4,53	2,008
15	9	243	50	721,154	57,00	7,90	2,663
15	14	378	80	771,360	43,16	5,60	3,935
15	22	594	0	783,836	33,74	4,30	6,791
15	27	729	30	780,270	40,13	5,14	8,810
15	32	864	60	761,588	53,33	7,00	9,750
15	36	972	90	718,201	41,20	5,74	7,604
15	45	1215	10	793,889	40,95	5,16	14,035
15	54	1458	40	781,411	41,64	5,33	16,683
15	63	1701	70	755,167	52,62	6,97	17,678
15	72	1944	100	737,600	47,75	6,47	16,064
15	90	2430	20	797,209	36,76	4,61	26,274
15	99	2673	50	752,134	48,20	6,41	27,002
15	108	2916	80	779,522	51,37	6,59	28,630
15	126	3402	0	796,107	30,39	3,82	37,138
15	135	3645	30	791,013	32,41	4,10	41,924
15	144	3888	60	766,447	43,12	5,63	39,597
15	153	4131	90	745,922	50,37	6,75	41,077
15	171	4617	10	791,854	50,01	6,32	51,625
15	180	4860	40	784,986	41,03	5,23	51,505
15	189	5103	70	756,610	43,52	5,75	53,662
15	198	5346	100	723,246	53,06	7,34	39,266
15	216	5832	20	781,377	38,38	4,91	64,341
15	225	6075	50	789,143	46,83	5,93	65,851
15	4	126	80	723,633	33,61	4,64	1,551
15	14	441	0	781,399	34,43	4,41	5,478
15	18	567	30	775,202	36,78	4,75	6,804
15	22	693	60	771,745	37,37	4,84	7,503
15	27	850	90	759,255	47,99	6,32	10,035
15	36	1134	10	785,929	37,99	4,83	13,366
15	40	1260	40	786,643	45,33	5,76	13,599
15	45	1417	70	785,134	42,02	5,35	15,081
15	54	1701	100	726,391	49,26	6,78	15,146
15	72	2268	20	780,554	37,60	4,82	24,171
15	81	2551	50	789,066	39,93	5,06	28,156
15	90	2835	80	765,278	50,47	6,60	30,172
15	108	3402	0	786,524	36,48	4,64	40,260
15	117	3685	30	769,581	45,66	5,93	41,067
15	126	3969	60	770,445	42,97	5,58	44,012
15	135	4252	90	742,385	41,02	5,53	39,694
15	153	4820	10	781,932	34,08	4,36	55,322
15	162	5103	40	781,783	48,18	6,16	57,991
15	171	5386	70	766,847	52,84	6,89	56,068
15	180	5670	100	714,431	46,22	6,47	43,253
15	198	6237	20	796,151	44,54	5,59	71,030
15	207	6520	50	776,504	53,48	6,89	70,015
15	216	6804	80	764,150	36,65	4,80	69,037
15	4	144	0	795,583	36,00	4,53	2,073
15	9	324	30	776,966	33,08	4,26	4,288
15	14	504	60	778,796	38,04	4,88	5,629
15	18	648	90	746,403	54,75	7,33	6,150
15	27	972	10	771,352	48,02	6,23	11,459
15	32	1152	40	776,062	34,79	4,48	12,138
15	36	1296	70	775,989	44,15	5,69	13,534
15	40	1440	100	712,909	46,24	6,49	11,356
15	54	1944	20	773,431	46,94	6,07	20,503
15	63	2268	50	771,628	47,27	6,13	24,571
15	72	2592	80	765,252	45,51	5,95	26,038
15	90	3240	0	786,003	44,41	5,65	35,448
15	99	3564	30	756,923	38,56	5,09	39,108
15	108	3888	60	779,105	48,38	6,21	42,400
15	117	4212	90	737,608	48,03	6,51	40,137
15	135	4860	10	798,194	33,95	4,25	53,543
15	144	5184	40	786,171	31,63	4,02	59,202
15	153	5508	70	768,635	50,77	6,60	58,881
15	162	5832	100	725,625	40,45	5,58	46,407
15	180	6480	20	785,320	36,26	4,62	74,245
15	189	6804	50	767,873	44,78	5,83	71,834
15	198	7128	80	755,214	51,61	6,83	69,830
15	216	7776	0	790,183	36,42	4,61	89,725
15	225	8100	30	780,486	45,85	5,87	89,918
15	4	162	60	795,212	30,48	3,83	2,317
15	9	364	90	741,985	44,47	5,99	4,237
15	18	729	10	771,158	45,78	5,94	9,028
15	22	891	40	759,303	38,40	5,06	9,929
15	27	1094	70	766,880	31,50	4,11	12,011
15	32	1296	100	707,525	32,03	4,53	9,341
15	40	1620	20	767,716	46,75	6,09	17,738
15	45	1822	50	752,647	47,30	6,28	18,769
15	54	2187	80	759,141	50,06	6,59	21,877
15	72	2916	0	771,044	46,77	6,07	33,004
15	81	3280	30	782,473	37,37	4,78	36,471
15	90	3645	60	749,654	47,26	6,30	39,258
15	99	4010	90	737,352	48,35	6,56	39,614
15	117	4738	10	788,517	30,28	3,84	54,882
15	126	5103	40	788,004	37,12	4,71	58,660
15	135	5468	70	763,116	42,71	5,60	58,231
15	144	5832	100	707,563	43,60	6,16	42,522
